,Date,No. of BTC Traded per month,Open,High,Low,Close,Volume,Market Cap,circulating supply,Total Value Locked (TVL)
0,"June 28, 2022",248080,20732,21164,20229,20281,21381535161,386949194398,5031310480,77
1,"June 27, 2022",258883,21028,21478,20620,20735,20965695707,395606854741,5367939005,74
2,"June 26, 2022",206755,21496,21784,21016,21027,18027170497,401157940864,4347437385,92
3,"June 25, 2022",218017,21234,21521,20965,21502,18372538715,410202265385,4687801534,88
4,"June 24, 2022",254348,21085,21473,20778,21232,24957784918,405018505024,5400316736,75
5,"June 23, 2022",255213,19987,21136,19950,21086,26188097173,402219959761,5381421318,75
6,"June 22, 2022",255472,20719,20836,19848,19987,28574793478,381240087224,5106118864,75
7,"June 21, 2022",254438,20594,21621,20415,20711,28970212744,395025644880,5269665418,75
8,"June 20, 2022",236636,20553,20913,19689,20600,30818458597,392888024959,4874701600,81
9,"June 19, 2022",199777,19011,20684,18067,20553,35329942625,391988917194,4106016681,95
10,"June 18, 2022",247890,20473,20736,17709,19018,42009436760,362685324229,4714372020,77
11,"June 17, 2022",251574,20386,21243,20327,20471,27132421514,390391528176,5149971354,76
12,"June 16, 2022",251253,22576,22869,20265,20382,31183975654,388664840557,5121038646,76
13,"June 15, 2022",296312,22197,22643,20178,22573,54912007015,430432160006,6688650776,64
14,"June 14, 2022",283231,22488,23019,20951,22207,50913575242,423429131864,6289710817,67
15,"June 13, 2022",272503,26738,26796,22141,22487,68204556440,428759852105,6127774961,70
16,"June 12, 2022",215473,28374,28503,26763,26763,34163220274,510252464821,5766703899,88
17,"June 11, 2022",230002,29085,29402,28236,28361,27246574439,540698499860,6523086722,83
18,"June 10, 2022",261856,30110,30246,28978,29084,29867476527,554455834486,7615819904,73
19,"June 09, 2022",262105,30215,30609,30020,30112,21692004719,574029141739,7892505760,73
20,"June 08, 2022",261597,31151,31254,29944,30214,30242059107,575953219488,7903891758,73
21,"June 07, 2022",263641,31372,31490,29312,31155,40770974039,593857882017,8213735355,72
22,"June 06, 2022",268921,29910,31693,29894,31371,31947336829,597927548347,8436320691,71
23,"June 05, 2022",201341,29835,30118,29574,29907,17264085441,569996838237,6021505287,95
24,"June 04, 2022",218629,29706,29931,29500,29833,16588370958,568564420350,6522358957,87
25,"June 03, 2022",267517,30468,30633,29376,29704,26175547452,566088081691,7946324968,71
26,"June 02, 2022",264901,29795,30605,29653,30467,29083562061,580603466872,8070738767,72
27,"June 01, 2022",272165,31793,31957,29502,29799,41135817341,567842680886,8110244835,70
28,"May 31, 2022",276273,31724,32250,31286,31792,33538210634,605797887876,8783271216,69
29,"May 30, 2022",271819,29443,31950,29304,31726,39277993274,604513442526,8623729594,70
30,"May 29, 2022",207859,29020,29498,28841,29446,18093886409,561034743433,6120616114,92
31,"May 28, 2022",226794,28842,29136,28555,29023,19252320708,552958193308,6582242262,84
32,"May 27, 2022",270453,29251,29347,28327,28628,36582005748,545388222664,7742528484,70
33,"May 26, 2022",262367,29565,29834,28262,29267,36774325352,557547946793,7678694989,73
34,"May 25, 2022",288842,29653,30158,29385,29562,27525063551,563145244692,8538747204,66
35,"May 24, 2022",235866,29101,29774,28787,29656,26616506245,564895173841,6994842096,81
36,"May 23, 2022",265106,30309,30591,28976,29099,31483454557,554268758109,7714319494,72
37,"May 22, 2022",209047,29432,30426,29275,30324,21631532270,577568895836,6339141228,91
38,"May 21, 2022",225225,29200,29589,29027,29432,17274840442,560565793082,6628822200,85
39,"May 20, 2022",267034,30311,30665,28794,29201,30749382605,556131920269,7797659834,71
40,"May 19, 2022",262479,28720,30431,28709,30314,33773447707,577316228899,7956788406,73
41,"May 18, 2022",262907,30424,30619,28720,28720,31285268319,546936441380,7550689040,72
42,"May 17, 2022",278496,29862,30694,29570,30426,29101473475,579391415566,8473519296,68
43,"May 16, 2022",272134,31304,31305,29252,29863,32613897286,568643328349,8126737642,70
44,"May 15, 2022",235433,30099,31308,29528,31305,25835372065,596074575228,7370230065,81
45,"May 14, 2022",290225,29286,30193,28703,30101,28579868620,573129618195,8736062725,66
46,"May 13, 2022",269880,29031,30925,28782,29283,42841124537,557525025253,7902896040,71
47,"May 12, 2022",274204,28937,30032,26350,29048,66989173272,553017241735,7965077792,69
48,"May 11, 2022",262683,31016,32013,28170,28936,70388855818,550870071634,7600995288,72
49,"May 10, 2022",279658,30274,32596,29945,31023,59811038817,590565398299,8675830134,68
50,"May 09, 2022",279511,34060,34222,30297,30297,63355494961,576716899023,8468344767,68
51,"May 08, 2022",233892,35503,35503,33879,34059,36763041910,648302121215,7966127628,81
52,"May 07, 2022",231623,36042,36130,34941,35502,24375896406,675729532874,8223079746,82
53,"May 06, 2022",286887,36573,36624,35482,36041,37795577489,685953792236,10339694367,66
54,"May 05, 2022",315759,39696,39789,35857,36575,43106256317,696088266356,11548885425,60
55,"May 04, 2022",233045,37748,39903,37732,39698,36754404490,755491473700,9251420410,82
56,"May 03, 2022",277895,38528,38630,37586,37750,27326943244,718385701943,10490536250,68
57,"May 02, 2022",272206,38472,39075,38157,38529,32922642426,733170725791,10487824974,70
58,"May 01, 2022",232322,37713,38628,37586,38469,27002760110,731986764312,8937195018,82
59,"April 30, 2022",261630,38606,38771,37698,37715,23895713731,717596901509,9867375450,73
60,"April 29, 2022",286563,39769,39887,38236,38610,30882994649,734589762490,11064197430,66
61,"April 28, 2022",275765,39241,40269,38941,39774,33903704907,756698317682,10968277110,69
62,"April 27, 2022",287105,38120,39398,37997,39241,30981015184,746531438329,11266287305,66
63,"April 26, 2022",273297,40448,40714,37885,38117,34569088416,725113482674,10417261749,70
64,"April 25, 2022",277417,39473,40492,38338,40458,35445730570,769607056243,11223736986,69
65,"April 24, 2022",221992,39478,39846,39234,39469,17964398167,750755023764,8761802248,86
66,"April 23, 2022",234978,39739,39936,39352,39487,16138021249,751045477435,9278576286,81
67,"April 22, 2022",260930,40526,40778,39315,39740,28011716745,755827581233,10369358200,73
68,"April 21, 2022",282438,41372,42894,40064,40527,35372786395,770762297843,11446364826,67
69,"April 20, 2022",285655,41502,42126,40961,41374,27819532341,786828424699,11818689970,67
70,"April 19, 2022",273168,40828,41673,40619,41503,25303206547,789227424713,11337291504,70
71,"April 18, 2022",246421,39721,40986,38696,40826,33705182072,776330593866,10060383746,77
72,"April 17, 2022",207324,40418,40571,39621,39717,19087633042,755201997823,8234287308,92
73,"April 16, 2022",225486,40552,40634,40078,40424,16833150693,768615440640,9115046064,84
74,"April 15, 2022",254831,39939,40618,39867,40553,21756855753,771033872659,10334161543,75
75,"April 14, 2022",265537,41160,41451,39696,39936,24342001973,759245303311,10604485632,72
76,"April 13, 2022",276968,40124,41430,39713,41167,27691105228,782617115810,11401941656,69
77,"April 12, 2022",278839,39534,40618,39388,40127,30991500854,762819737794,11188972553,68
78,"April 11, 2022",276623,42201,42425,39373,39522,33949912166,751274786459,10932694206,69
79,"April 10, 2022",216446,42781,43376,42021,42208,17654475582,802293412897,9135752768,88
80,"April 09, 2022",232792,42282,42787,42183,42782,16050772496,813175789802,9959307344,82
81,"April 08, 2022",266805,43505,43903,42183,42288,27215995394,803736501494,11282649840,71
82,"April 07, 2022",269404,43208,43861,42900,43504,26101973106,826814841543,11720151616,71
83,"April 06, 2022",273640,45544,45544,43194,43207,39393395788,821131605927,11823163480,69
84,"April 05, 2022",273430,46625,47106,45545,45556,29640604055,865734982991,12456377080,70
85,"April 04, 2022",275106,46445,46791,45236,46623,32499785455,885964854050,12826267038,69
86,"April 03, 2022",225564,45859,47313,45634,46454,25414397610,882703992271,10478350056,84
87,"April 02, 2022",254442,46286,47028,45783,45869,29336594194,871556728553,11671000098,75
88,"April 01, 2022",284105,45554,46616,44403,46282,38162644287,879359612625,13148947610,67
89,"March 31, 2022",279210,47062,47512,45391,45539,33327427106,865202119216,12714944190,68
90,"March 30, 2022",272864,47457,47655,46746,47063,29333883962,894116777852,12841798432,70
91,"March 29, 2022",286940,47100,48022,47100,47466,31397059069,901733146417,13619894040,66
92,"March 28, 2022",293304,46822,48087,46690,47128,36362175703,895273041065,13822830912,65
93,"March 27, 2022",218202,44505,46828,44437,46820,28160889722,889385706663,10216217640,87
94,"March 26, 2022",231031,44350,44736,44166,44501,16950455995,845283757076,10281110531,82
95,"March 25, 2022",290719,43965,44999,43706,44349,30574413034,842351457245,12893096931,65
96,"March 24, 2022",262987,42887,44132,42726,43961,31042992291,834943671214,11561171507,72
97,"March 23, 2022",264182,42364,42894,41878,42893,25242943069,814620088889,11331558526,72
98,"March 22, 2022",264569,41074,43125,40948,42359,32004652376,804437952236,11206878271,72
99,"March 21, 2022",259912,41246,41454,40668,41078,24615543271,780074755650,10676665136,73
100,"March 20, 2022",210547,42191,42241,41005,41248,20127946682,783260570384,8684642656,90
101,"March 19, 2022",242424,41795,42317,41603,42191,19664853187,801124017583,10228110984,78
102,"March 18, 2022",261318,40945,42196,40302,41801,34421564942,793688176484,10923353718,73
103,"March 17, 2022",278800,41141,41288,40663,40951,22009601093,777515183730,11417138800,68
104,"March 16, 2022",276390,39336,41465,39022,41144,39616916192,781131586213,11371790160,69
105,"March 15, 2022",263178,39664,39795,38310,39339,23934000868,746821744421,10353159342,72
106,"March 14, 2022",259592,37846,39742,37681,39667,24322159070,753013859090,10297235864,73
107,"March 13, 2022",208092,38885,39209,37728,37850,17300745310,718481905386,7876282200,91
108,"March 12, 2022",225148,38794,39309,38773,38904,14616450657,738459914964,8759157792,84
109,"March 11, 2022",252383,39440,40082,38347,38795,26364890465,736353069777,9791198485,75
110,"March 10, 2022",261553,41974,42005,38833,39437,31078064711,748513363763,10314865661,73
111,"March 09, 2022",272805,38743,42466,38706,41983,32284121034,796787661849,11453172315,70
112,"March 08, 2022",255771,38060,39304,37957,38737,25776583476,735156346355,9907801227,74
113,"March 07, 2022",255441,38429,39430,37260,38062,28546143503,722305696828,9722595342,74
114,"March 06, 2022",207116,39404,39640,38212,38420,19745229902,729062407067,7957396720,92
115,"March 05, 2022",225321,39148,39566,38777,39401,16975917450,747638613405,8877872721,84
116,"March 04, 2022",262101,42458,42480,38806,39138,28516271427,742617908335,10258108938,72
117,"March 03, 2022",268244,43925,44022,41915,42452,24967782593,805466458785,11387494288,71
118,"March 02, 2022",288657,44358,45078,43433,43924,29183112630,833361543695,12678970068,66
119,"March 01, 2022",280634,43194,44794,42953,44355,32479047645,841491170716,12447521070,68
120,"February 28, 2022",270918,37706,43760,37518,43193,35690014104,819414782676,11701761174,70
121,"February 27, 2022",211164,39099,39779,37269,37710,23450127612,715351995828,7962994440,90
122,"February 26, 2022",220423,39213,40005,38703,39105,17467554129,741789694059,8619641415,86
123,"February 25, 2022",260340,38334,39630,38111,39214,26545599159,743827806938,10208972760,73
124,"February 24, 2022",254139,37279,38969,34459,38333,46383802093,727072550320,9741910287,75
125,"February 23, 2022",251275,38285,39122,37202,37297,21849073843,707390766255,9371803675,75
126,"February 22, 2022",260265,37069,38360,36489,38286,25493150450,726121533658,9964505790,73
127,"February 21, 2022",237402,38423,39394,36950,37075,29280402798,703124071472,8801679150,80
128,"February 20, 2022",200535,40118,40120,38113,38431,18340576452,728812385562,7706760585,95
129,"February 19, 2022",220673,40026,40419,39713,40122,13736557863,760839429984,8853842106,86
130,"February 18, 2022",261055,40552,40929,39638,40031,23310007704,759074084514,10450292705,73
131,"February 17, 2022",255573,43937,44133,40249,40538,26246662813,768654436207,10360418274,74
132,"February 16, 2022",266788,44578,44578,43457,43962,19792547657,833531932920,11728534056,71
133,"February 15, 2022",273623,42586,44667,42491,44575,22721659051,845117683687,12196745225,69
134,"February 14, 2022",247592,42157,42776,41682,42587,20827783012,807375855006,10544200504,77
135,"February 13, 2022",208977,42237,42693,41951,42198,14741589015,799950408997,8818411446,91
136,"February 12, 2022",228189,42412,42993,41853,42244,18152390304,800797790301,9639616116,83
137,"February 11, 2022",258595,43571,43811,42115,42408,26954925781,803848273503,10966496760,73
138,"February 10, 2022",260813,44348,45661,43403,43565,32142048537,825745116530,11362318345,73
139,"February 09, 2022",265804,44097,44728,43233,44339,23245887300,840369284541,11785483556,71
140,"February 08, 2022",276850,43855,45294,42808,44118,33079398868,836154543908,12214068300,68
141,"February 07, 2022",262034,42407,44402,41748,43840,28641855926,830838884165,11487570560,72
142,"February 06, 2022",219196,41441,42501,41245,42412,16142097334,803744511638,9296540752,86
143,"February 05, 2022",258646,41501,41847,41038,41441,19652846215,785297889648,10718548886,73
144,"February 04, 2022",247946,37149,41528,37094,41501,29412210792,786396684548,10290006946,76
145,"February 03, 2022",265344,36945,37155,36376,37155,18591534769,704010232687,9858856320,71
146,"February 02, 2022",278985,38744,38835,36833,36953,19155189416,700155817836,10309332705,68
147,"February 01, 2022",272984,38482,39115,38114,38743,20288500328,734039224255,10576219112,69
148,"January 31, 2022",263410,37920,38647,36734,38483,20734730465,729073641688,10136807030,72
149,"January 30, 2022",207173,38152,38266,37438,37918,14643548444,718325967803,7855585814,91
150,"January 29, 2022",231038,37781,38576,37406,38138,17194183075,722469136410,8811327244,82
151,"January 28, 2022",264609,37128,37953,36211,37784,22238830523,715731622071,9997986456,72
152,"January 27, 2022",255925,36842,37148,35629,37138,25041426629,703456873493,9504542650,74
153,"January 26, 2022",261070,36951,38825,36375,36852,31324598034,698006361956,9620951640,73
154,"January 25, 2022",265128,36655,37445,35779,36954,26428189594,699907393886,9797540112,71
155,"January 24, 2022",270712,36276,37248,33184,36654,41856658597,694196560317,9922677648,70
156,"January 23, 2022",203986,35047,36433,34785,36277,26017975951,687012848062,7400000122,93
157,"January 22, 2022",250294,36472,36689,34349,35030,39714385405,663374008017,8767798820,76
158,"January 21, 2022",272348,40700,41061,35791,36457,43011992031,690368973093,9928991036,70
159,"January 20, 2022",271265,41744,43413,40673,40680,20382033940,770304579439,11035060200,70
160,"January 19, 2022",270334,42374,42478,41243,41744,23091543258,790406427118,11284822496,70
161,"January 18, 2022",265057,42250,42534,41392,42376,22417209227,802313747480,11232055432,71
162,"January 17, 2022",258141,43118,43179,41680,42251,21690904261,799910089279,10906715391,73
163,"January 16, 2022",216151,43172,43437,42691,43114,17902097845,816211499221,9319134214,88
164,"January 15, 2022",234373,43102,43725,42669,43177,18371348298,817364571824,10119523021,81
165,"January 14, 2022",270882,42599,43347,41983,43100,23577403399,815850639036,11675014200,70
166,"January 13, 2022",274515,43947,44278,42447,42592,47691135082,806189762638,11692142880,69
167,"January 12, 2022",271933,42742,44135,42529,43949,33499938689,831836978396,11951183417,70
168,"January 11, 2022",277698,41820,43001,41408,42736,26327648900,808834801011,11867701728,68
169,"January 10, 2022",266743,41910,42199,39797,41821,32104232331,791484886194,11155459003,71
170,"January 09, 2022",210143,41735,42664,41338,41912,21294384372,793156354744,8807513416,90
171,"January 08, 2022",223920,41561,42229,40672,41734,28066355845,789758782727,9345077280,85
172,"January 07, 2022",255381,43154,43154,41077,41558,84196607520,786389774194,10613123598,74
173,"January 06, 2022",264899,43566,43749,42646,43161,30208048289,816685390313,11433305739,71
174,"January 05, 2022",272155,45899,46929,42798,43569,36851084859,824368284530,11857521195,70
175,"January 04, 2022",274544,46459,47407,45752,45898,42494677905,868383282082,12601020512,69
176,"January 03, 2022",234793,47344,47511,45836,46458,33071628362,878946596803,10908013194,81
177,"January 02, 2022",196865,47681,47881,46857,47345,27951569547,895688387523,9320573425,96
178,"January 01, 2022",186834,46312,47827,46288,47687,24582667004,902104193385,8909552958,101
179,"December 31, 2021",269540,47169,48473,45820,46306,36974172400,875939356679,12481319240,70
180,"December 30, 2021",245021,46491,47880,46060,47178,26686491018,892386327929,11559600738,77
181,"December 29, 2021",276083,47624,48120,46201,46445,30049226299,878478755242,12822674935,69
182,"December 28, 2021",265422,50680,50680,47414,47589,33430376883,900076230597,12631167558,71
183,"December 27, 2021",249548,50803,51956,50499,50640,24324345758,957746390396,12637110720,76
184,"December 26, 2021",198574,50429,51196,49623,50810,20964372926,960899995735,10089544940,95
185,"December 25, 2021",207803,50855,51177,50237,50430,19030650914,953678082633,10479505290,91
186,"December 24, 2021",260565,50806,51814,50514,50822,24367912228,961051547919,13242434430,73
187,"December 23, 2021",291799,48626,51332,48066,50785,28223878108,960290825000,14819012215,65
188,"December 22, 2021",288495,48937,49545,48451,48629,24447979559,919476035254,14029223355,66
189,"December 21, 2021",304713,46886,49301,46699,48937,27055803928,925255868119,14911740081,62
190,"December 20, 2021",266947,46707,47402,45580,46880,30961902129,886331446165,12514475360,71
191,"December 19, 2021",206719,46854,48090,46503,46707,25154053861,883011296030,9655224333,91
192,"December 18, 2021",239170,46219,47314,45598,46849,26098292690,885650029984,11204875330,79
193,"December 17, 2021",263495,47654,48005,45618,46202,32902725329,873389147689,12173995990,72
194,"December 16, 2021",256206,48900,49426,47530,47665,27268150947,901005821508,12212058990,74
195,"December 15, 2021",281103,48380,49474,46672,48897,36541828520,924244252417,13745093391,67
196,"December 14, 2021",278275,46710,48431,46424,46613,34638619079,881018067731,12971232575,68
197,"December 13, 2021",278211,50115,50205,45895,46737,32166727776,883345705454,13002747507,68
198,"December 12, 2021",214808,49355,50725,48726,50098,21939223599,946823114555,10761451184,88
199,"December 11, 2021",225733,47265,49458,46942,49363,25775869261,932873019896,11142858079,84
200,"December 10, 2021",271375,47642,50015,47024,47243,30966005122,892777676312,12820569125,70
201,"December 09, 2021",282775,50450,50797,47358,47672,29603577251,900835068960,13480449800,67
202,"December 08, 2021",266110,50668,51171,48766,50505,28479699446,954312404511,13439885550,71
203,"December 07, 2021",288343,50582,51935,50176,50700,33676814852,957948940989,14618990100,66
204,"December 06, 2021",284467,49413,50930,47281,50583,37707308001,955680910792,14389194261,66
205,"December 05, 2021",215213,49202,49768,47858,49369,37198201161,932695365142,10624850597,88
206,"December 04, 2021",253674,53728,53905,42875,49201,61385677469,929467386770,12481014474,74
207,"December 03, 2021",290139,56509,57482,52497,53598,39789134215,1012490599979,15550870122,65
208,"December 02, 2021",313261,57217,57349,55895,56478,32379968686,1066829261574,17692354758,60
209,"December 01, 2021",288422,56908,59042,56553,57230,36858195307,1080977744339,16506391060,65
210,"November 30, 2021",293876,57830,59113,56057,57005,36708594618,1076689232562,16752401380,64
211,"November 29, 2021",301297,57292,58873,56793,57807,32370840356,1091773828974,17417075679,63
212,"November 28, 2021",213768,54813,57394,53577,57248,28116886357,1081180416262,12237790464,88
213,"November 27, 2021",240759,53736,55329,53668,54815,30560857714,1035176249679,13197204585,78
214,"November 26, 2021",292645,58960,59183,53570,53570,41810748221,1011613083342,15676992650,65
215,"November 25, 2021",287496,57165,59368,57147,57275,34284016248,1081500188674,16466333400,66
216,"November 24, 2021",298909,57566,57803,55964,56280,36635566789,1062661698465,16822598520,63
217,"November 23, 2021",283401,56305,57876,55633,57569,37485803899,1086985075773,16315112169,67
218,"November 22, 2021",279165,58707,59266,55680,56289,35036121783,1062772703759,15713918685,68
219,"November 21, 2021",222949,59731,60004,58619,58730,26123447605,1108812311533,13093794770,85
220,"November 20, 2021",249652,58115,59860,57470,59697,30624264863,1127014430118,14903475444,76
221,"November 19, 2021",284719,56896,58351,55705,58120,38702407772,1097177697853,16547868280,66
222,"November 18, 2021",293867,60360,60948,56551,56942,41388338699,1074900976539,16733374714,64
223,"November 17, 2021",290390,60140,60824,58515,60368,39178392930,1139519389072,17530263520,65
224,"November 16, 2021",301103,63721,63721,59016,60161,46844335592,1135559300073,18114657583,63
225,"November 15, 2021",288435,65521,66282,63548,63558,30558763548,1199611097094,18332351730,65
226,"November 14, 2021",224016,64455,65495,63648,65467,25122092191,1235578996842,14665655472,84
227,"November 13, 2021",238634,64158,64916,63304,64470,30474228777,1216695126358,15384733980,79
228,"November 12, 2021",282049,64864,65461,62334,64156,36084893887,1210715199478,18095135644,67
229,"November 11, 2021",293665,64979,65579,64180,64950,35880633236,1225643127560,19073541750,64
230,"November 10, 2021",301025,66953,68790,63208,64995,48730828378,1226431510693,19565119875,63
231,"November 09, 2021",335411,67550,68530,66382,66972,42357991721,1263667113597,22463145492,56
232,"November 08, 2021",285806,63344,67674,63344,67567,41125608330,1274831490851,19311054002,66
233,"November 07, 2021",226128,61555,63327,61432,63327,24726754302,1194778776481,14320007856,83
234,"November 06, 2021",236233,61069,61591,60164,61527,29094934221,1160769349887,14534707791,80
235,"November 05, 2021",285946,61460,62541,60845,61126,30605102446,1153128571128,17478735196,66
236,"November 04, 2021",289141,62942,63123,60800,61452,32615846901,1159231375022,17768292732,65
237,"November 03, 2021",288746,63254,63517,61184,62970,36124731509,1187808286560,18182335620,65
238,"November 02, 2021",297402,60963,64243,60673,63226,37746665647,1192577136210,18803538852,63
239,"November 01, 2021",293282,61320,62419,59695,61004,36150572843,1150606762880,17891375128,64
240,"October 31, 2021",217435,61850,62406,60074,61319,32241199927,1156485845063,13332896765,87
241,"October 30, 2021",252061,62239,62330,60918,61889,32157938616,1167178054167,15599803229,75
242,"October 29, 2021",305733,60625,62928,60330,62228,36856881767,1173512442368,19025153124,62
243,"October 28, 2021",295558,58471,62129,58207,60622,45257083247,1143165999365,17917317076,64
244,"October 27, 2021",292114,60352,61435,58208,58482,43657076893,1102757767323,17083410948,65
245,"October 26, 2021",294029,63033,63229,59991,60364,34878965587,1138177770430,17748766556,64
246,"October 25, 2021",284680,60894,63729,60692,63040,31064911614,1188575312422,17946227200,66
247,"October 24, 2021",211220,61368,61506,59643,60931,27316183882,1148743134468,12869845820,89
248,"October 23, 2021",223941,60695,61744,59827,61394,26882546034,1157410091263,13748633754,84
249,"October 22, 2021",287550,62238,63715,60123,60692,38434082775,1144131483274,17451984600,66
250,"October 21, 2021",320743,66002,66601,62117,62210,45908121370,1172684282558,19953422030,59
251,"October 20, 2021",291813,64285,66930,63611,65993,40788955582,1243927428207,19257615309,65
252,"October 19, 2021",312018,62043,64435,61623,64262,40471196346,1211242526571,20050900716,60
253,"October 18, 2021",285368,61549,62615,60013,62026,38055562075,1169039169043,17700235568,66
254,"October 17, 2021",215883,60888,61646,59164,61554,29032367511,1160077513368,13288462182,87
255,"October 16, 2021",270052,61610,62274,60206,60892,34250964237,1147551202767,16444006384,70
256,"October 15, 2021",297746,57346,62757,56868,61594,51780081801,1160726409230,18339367124,63
257,"October 14, 2021",282383,57373,58479,56957,57322,36615791366,1080160001108,16186758326,67
258,"October 13, 2021",288916,56038,57689,54371,57401,41684252783,1081611750762,16584067316,65
259,"October 12, 2021",274155,57527,57628,54478,56041,41083758949,1055926265435,15363920355,69
260,"October 11, 2021",280184,54734,57793,54520,57485,42637331698,1083079138639,16106377240,67
261,"October 10, 2021",211506,54953,56401,54264,54772,39527792364,1031909532688,11584606632,89
262,"October 09, 2021",246189,53930,55398,53735,54968,32491211414,1035558748272,13532516952,77
263,"October 08, 2021",280028,53802,55923,53688,53968,34800873924,1016664484566,15112551104,67
264,"October 07, 2021",325875,55339,55339,53525,53806,36807860413,1013573258668,17534030250,58
265,"October 06, 2021",267749,51487,55568,50488,55361,49034730168,1042827678808,14822852389,70
266,"October 05, 2021",312538,49175,51840,49073,51515,35873904236,970325310417,16100395070,60
267,"October 04, 2021",268955,48209,49457,47045,49113,33383173002,925033195574,13209186915,70
268,"October 03, 2021",218112,47680,49131,47157,48200,26638115879,907791525236,10512998400,86
269,"October 02, 2021",259961,48137,48282,47466,47711,30614346492,898547418743,12402999271,72
270,"October 01, 2021",277042,43817,48436,43320,48117,42850641582,906127699408,13330429914,68
