Date,Open,High,Low,Close,Volume,Market Cap,Balance_in_RBTC,Circulating Supply,Balance in USD,Total Value Locked (TVL) in USD
2022-06-28,20732,21164,20229,20281,21381535161,386949194398,41993900,19079394,794713560550,794694481156
2022-06-27,21028,21478,20620,20735,20965695707,395606854741,188972534,19079183,3576210719683,3576191640500
2022-06-26,21496,21784,21016,21027,18027170497,401157940864,41993886,19078230,794713295607,794694217377
2022-06-25,21234,21521,20965,21502,18372538715,410202265385,167975471,19077400,3178851800940,3178832723540
2022-06-24,21085,21473,20778,21232,24957784918,405018505024,62990789,19075853,1192069186430,1192050110577
2022-06-23,19987,21136,19950,21086,26188097173,402219959761,20996928,19075214,397356363936,397337288722
2022-06-22,20719,20836,19848,19987,28574793478,381240087224,62990784,19074403,1192069091808,1192050017405
2022-06-21,20594,21621,20415,20711,28970212744,395025644880,41993850,19073229,794712614325,794693541096
2022-06-20,20553,20913,19689,20600,30818458597,392888024959,62990783,19072234,1192069072884,1192050000650
2022-06-19,19011,20684,18067,20553,35329942625,391988917194,125981574,19072102,2384138297163,2384119225061
2022-06-18,20473,20736,17709,19018,42009436760,362685324229,125981598,19070634,2384138751351,2384119680717
2022-06-17,20386,21243,20327,20471,27132421514,390391528176,83987696,19070467,1589425152952,1589406082485
2022-06-16,22576,22869,20265,20382,31183975654,388664840557,104984560,19069024,1986780305720,1986761236696
2022-06-15,22197,22643,20178,22573,54912007015,430432160006,41993824,19068452,794712122288,794693053836
2022-06-14,22488,23019,20951,22207,50913575242,423429131864,41993807,19067372,794711800572,794692733200
2022-06-13,26738,26796,22141,22487,68204556440,428759852105,188972265,19067010,3576205628992,3576186561982
2022-06-12,28374,28503,26763,26763,34163220274,510252464821,62990701,19065593,1192067521074,1192048455481
2022-06-11,29085,29402,28236,28361,27246574439,540698499860,146978260,19064860,2781490081370,2781471016510
2022-06-10,30110,30246,28978,29084,29867476527,554455834486,62990667,19063947,1192066877642,1192047813695
2022-06-09,30215,30609,30020,30112,21692004719,574029141739,20996889,19063136,397355625880,397336562744
2022-06-08,31151,31254,29944,30214,30242059107,575953219488,104984314,19062462,1986775650293,1986756587831
2022-06-07,31372,31490,29312,31155,40770974039,593857882017,62990547,19061399,1192064606702,1192045545303
2022-06-06,29910,31693,29894,31371,31947336829,597927548347,125981067,19059882,2384128702442,2384109642560
2022-06-05,29835,30118,29574,29907,17264085441,569996838237,20996850,19058977,397354887825,397335828848
2022-06-04,29706,29931,29500,29833,16588370958,568564420350,41993694,19058238,794709662103,794690603865
2022-06-03,30468,30633,29376,29704,26175547452,566088081691,20996847,19057638,397354831052,397335773414
2022-06-02,29795,30605,29653,30467,29083562061,580603466872,20996847,19056798,397354831052,397335774254
2022-06-01,31793,31957,29502,29799,41135817341,567842680886,62990536,19055763,1192064398532,1192045342769
2022-05-31,31724,32250,31286,31792,33538210634,605797887876,83987380,19055042,1589419172810,1589400117768
2022-05-30,29443,31950,29304,31726,39277993274,604513442526,62990528,19054197,1192064247136,1192045192939
2022-05-29,29020,29498,28841,29446,18093886409,561034743433,20996839,19053004,397354679656,397335626652
2022-05-28,28842,29136,28555,29023,19252320708,552958193308,62990520,19052413,1192064095740,1192045043327
2022-05-27,29251,29347,28327,28628,36582005748,545388222664,62990518,19050867,1192064057891,1192045007024
2022-05-26,29565,29834,28262,29267,36774325352,557547946793,41993678,19050396,794709359311,794690308915
2022-05-25,29653,30158,29385,29562,27525063551,563145244692,20996839,19049633,397354679656,397335630023
2022-05-24,29101,29774,28787,29656,26616506245,564895173841,0,19048259,0,-19048259
2022-05-23,30309,30591,28976,29099,31483454557,554268758109,20996839,19047691,397354679656,397335631965
2022-05-22,29432,30426,29275,30324,21631532270,577568895836,41993688,19046593,794709548556,794690501963
2022-05-21,29200,29589,29027,29432,17274840442,560565793082,41993688,19046133,794709548556,794690502423
2022-05-20,30311,30665,28794,29201,30749382605,556131920269,0,19044961,0,-19044961
2022-05-19,28720,30431,28709,30314,33773447707,577316228899,20996844,19044541,397354774278,397335729737
2022-05-18,30424,30619,28720,28720,31285268319,546936441380,62990527,19043748,1192064228212,1192045184464
2022-05-17,29862,30694,29570,30426,29101473475,579391415566,20996839,19042642,397354679656,397335637014
2022-05-16,31304,31305,29252,29863,32613897286,568643328349,41993673,19041735,794709264688,794690222953
2022-05-15,30099,31308,29528,31305,25835372065,596074575228,41993674,19040874,794709283613,794690242739
2022-05-14,29286,30193,28703,30101,28579868620,573129618195,20996836,19040219,397354622882,397335582663
2022-05-13,29031,30925,28782,29283,42841124537,557525025253,125981012,19039204,2384127661594,2384108622390
2022-05-12,28937,30032,26350,29048,66989173272,553017241735,125980814,19038049,2384123914543,2384104876494
2022-05-11,31016,32013,28170,28936,70388855818,550870071634,62990370,19037534,1192061257065,1192042219531
2022-05-10,30274,32596,29945,31023,59811038817,590565398299,41993580,19036373,794707504710,794688468337
2022-05-09,34060,34222,30297,30297,63355494961,576716899023,62990370,19035446,1192061257065,1192042221619
2022-05-08,35503,35503,33879,34059,36763041910,648302121215,104983917,19034679,1986768137266,1986749102587
2022-05-07,36042,36130,34941,35502,24375896406,675729532874,125981278,19033562,2384132695511,2384113661949
2022-05-06,36573,36624,35482,36041,37795577489,685953792236,188973636,19032596,3576231574482,3576212541886
2022-05-05,39696,39789,35857,36575,43106256317,696088266356,104986902,19031805,1986824626899,1986805595094
2022-05-04,37748,39903,37732,39698,36754404490,755491473700,146983138,19030971,2781582395081,2781563364110
2022-05-03,38528,38630,37586,37750,27326943244,718385701943,20997656,19030085,397370140972,397351110887
2022-05-02,38472,39075,38157,38529,32922642426,733170725791,62992968,19029062,1192110422916,1192091393854
2022-05-01,37713,38628,37586,38469,27002760110,731986764312,20997656,19027964,397370140972,397351113008
2022-04-30,38606,38771,37698,37715,23895713731,717596901509,0,19026830,0,-19026830
2022-04-29,39769,39887,38236,38610,30882994649,734589762490,41995310,19025894,794740244095,794721218201
2022-04-28,39241,40269,38941,39774,33903704907,756698317682,20997654,19024949,397370103123,397351078174
2022-04-27,38120,39398,37997,39241,30981015184,746531438329,62992961,19024272,1192110290444,1192091266172
2022-04-26,40448,40714,37885,38117,34569088416,725113482674,0,19023362,0,-19023362
2022-04-25,39473,40492,38338,40458,35445730570,769607056243,188978848,19022370,3576330208976,3576311186606
2022-04-24,39478,39846,39234,39469,17964398167,750755023764,62992950,19021384,1192110082275,1192091060891
2022-04-23,39739,39936,39352,39487,16138021249,751045477435,62992950,19020069,1192110082275,1192091062206
2022-04-22,40526,40778,39315,39740,28011716745,755827581233,104988251,19019315,1986850156050,1986831136735
2022-04-21,41372,42894,40064,40527,35372786395,770762297843,83990592,19018489,1589479958304,1589460939815
2022-04-20,41502,42126,40961,41374,27819532341,786828424699,20997647,19017461,397369970652,397350953191
2022-04-19,40828,41673,40619,41503,25303206547,789227424713,62992941,19016154,1192109911954,1192090895800
2022-04-18,39721,40986,38696,40826,33705182072,776330593866,41995296,19015593,794739979152,794720963559
2022-04-17,40418,40571,39621,39717,19087633042,755201997823,20997648,19014578,397369989576,397350974998
2022-04-16,40552,40634,40078,40424,16833150693,768615440640,41995295,19013839,794739960228,794720946389
2022-04-15,39939,40618,39867,40553,21756855753,771033872659,0,19012992,0,-19012992
2022-04-14,41160,41451,39696,39936,24342001973,759245303311,41995295,19011551,794739960228,794720948677
2022-04-13,40124,41430,39713,41167,27691105228,782617115810,83990591,19010788,1589479939380,1589460928592
2022-04-12,39534,40618,39388,40127,30991500854,762819737794,83990588,19010136,1589479882606,1589460872470
2022-04-11,42201,42425,39373,39522,33949912166,751274786459,62992944,19009028,1192109968728,1192090959700
2022-04-10,42781,43376,42021,42208,17654475582,802293412897,41995292,19008089,794739903454,794720895365
2022-04-09,42282,42787,42183,42782,16050772496,813175789802,62992938,19007428,1192109855181,1192090847753
2022-04-08,43505,43903,42183,42288,27215995394,803736501494,41995292,19006255,794739903454,794720897199
2022-04-07,43208,43861,42900,43504,26101973106,826814841543,20997645,19005490,397369932802,397350927312
2022-04-06,45544,45544,43194,43207,39393395788,821131605927,62992928,19004597,1192109665936,1192090661339
2022-04-05,46625,47106,45545,45556,29640604055,865734982991,20997638,19003753,397369800331,397350796578
2022-04-04,46445,46791,45236,46623,32499785455,885964854050,41995276,19002742,794739600662,794720597920
2022-04-03,45859,47313,45634,46454,25414397610,882703992271,41995276,19001679,794739600662,794720598983
2022-04-02,46286,47028,45783,45869,29336594194,871556728553,41995276,19000997,794739600662,794720599665
2022-04-01,45554,46616,44403,46282,38162644287,879359612625,0,19000035,0,-19000035
2022-03-31,47062,47512,45391,45539,33327427106,865202119216,0,18999146,0,-18999146
2022-03-30,47457,47655,46746,47063,29333883962,894116777852,83990552,18998295,1589479201324,1589460203029
2022-03-29,47100,48022,47100,47466,31397059069,901733146417,83990552,18997454,1589479201324,1589460203870
2022-03-28,46822,48087,46690,47128,36362175703,895273041065,104988175,18996627,1986848717788,1986829721161
2022-03-27,44505,46828,44437,46820,28160889722,889385706663,83990514,18995850,1589478482193,1589459486343
2022-03-26,44350,44736,44166,44501,16950455995,845283757076,41995242,18994714,794738957229,794719962515
2022-03-25,43965,44999,43706,44349,30574413034,842351457245,125985712,18993697,2384216606744,2384197613047
2022-03-24,42887,44132,42726,43961,31042992291,834943671214,41995230,18992827,794738730135,794719737308
2022-03-23,42364,42894,41878,42893,25242943069,814620088889,146983269,18991912,2781584874190,2781565882278
2022-03-22,41074,43125,40948,42359,32004652376,804437952236,83990462,18990957,1589477498119,1589458507162
2022-03-21,41246,41454,40668,41078,24615543271,780074755650,41995230,18990086,794738730135,794719740049
2022-03-20,42191,42241,41005,41248,20127946682,783260570384,20997615,18989056,397369365068,397350376012
2022-03-19,41795,42317,41603,42191,19664853187,801124017583,0,18988031,0,-18988031
2022-03-18,40945,42196,40302,41801,34421564942,793688176484,62992845,18987301,1192108095202,1192089107901
2022-03-17,41141,41288,40663,40951,22009601093,777515183730,41995230,18986476,794738730135,794719743659
2022-03-16,39336,41465,39022,41144,39616916192,781131586213,83990460,18985310,1589477460270,1589458474960
2022-03-15,39664,39795,38310,39339,23934000868,746821744421,62992845,18984258,1192108095202,1192089110944
2022-03-14,37846,39742,37681,39667,24322159070,753013859090,41995228,18983383,794738692286,794719708903
2022-03-13,38885,39209,37728,37850,17300745310,718481905386,41995232,18982349,794738767984,794719785635
2022-03-12,38794,39309,38773,38904,14616450657,738459914964,20997616,18981594,397369383992,397350402398
2022-03-11,39440,40082,38347,38795,26364890465,736353069777,41995232,18980618,794738767984,794719787366
2022-03-10,41974,42005,38833,39437,31078064711,748513363763,20997616,18979977,397369383992,397350404015
2022-03-09,38743,42466,38706,41983,32284121034,796787661849,104988078,18978817,1986846882111,1986827903294
2022-03-08,38060,39304,37957,38737,25776583476,735156346355,83990387,18978144,1589476078782,1589457100638
2022-03-07,38429,39430,37260,38062,28546143503,722305696828,41995186,18977082,794737897457,794718920375
2022-03-06,39404,39640,38212,38420,19745229902,729062407067,62992787,18976117,1192106997582,1192088021465
2022-03-05,39148,39566,38777,39401,16975917450,747638613405,62992788,18975118,1192107016506,1192088041388
2022-03-04,42458,42480,38806,39138,28516271427,742617908335,62992788,18974345,1192107016506,1192088042161
2022-03-03,43925,44022,41915,42452,24967782593,805466458785,62992786,18973581,1192106978657,1192088005076
2022-03-02,44358,45078,43433,43924,29183112630,833361543695,20997595,18972806,397368986578,397350013772
2022-03-01,43194,44794,42953,44355,32479047645,841491170716,125985570,18971732,2384213919465,2384194947733
2022-02-28,37706,43760,37518,43193,35690014104,819414782676,41995185,18971009,794737878532,794718907523
2022-02-27,39099,39779,37269,37710,23450127612,715351995828,83990360,18969822,1589475567820,1589456597998
2022-02-26,39213,40005,38703,39105,17467554129,741789694059,125985504,18969178,2384212670448,2384193701270
2022-02-25,38334,39630,38111,39214,26545599159,743827806938,20997585,18968425,397368797332,397349828907
2022-02-24,37279,38969,34459,38333,46383802093,727072550320,83990335,18967275,1589475094708,1589456127433
2022-02-23,38285,39122,37202,37297,21849073843,707390766255,62992749,18966425,1192106278450,1192087312025
2022-02-22,37069,38360,36489,38286,25493150450,726121533658,20997586,18965719,397368816257,397349850538
2022-02-21,38423,39394,36950,37075,29280402798,703124071472,146983052,18964911,2781580767574,2781561802663
2022-02-20,40118,40120,38113,38431,18340576452,728812385562,0,18964180,0,-18964180
2022-02-19,40026,40419,39713,40122,13736557863,760839429984,104987873,18963148,1986843002588,1986824039440
2022-02-18,40552,40929,39638,40031,23310007704,759074084514,41995148,18962156,794737178326,794718216170
2022-02-17,43937,44133,40249,40538,26246662813,768654436207,0,18961331,0,-18961331
2022-02-16,44578,44578,43457,43962,19792547657,833531932920,0,18960282,0,-18960282
2022-02-15,42586,44667,42491,44575,22721659051,845117683687,41995146,18959454,794737140477,794718181023
2022-02-14,42157,42776,41682,42587,20827783012,807375855006,20997573,18958270,397368570238,397349611968
2022-02-13,42237,42693,41951,42198,14741589015,799950408997,62992707,18957069,1192105483622,1192086526553
2022-02-12,42412,42993,41853,42244,18152390304,800797790301,62992713,18956486,1192105597168,1192086640682
2022-02-11,43571,43811,42115,42408,26954925781,803848273503,20997571,18955109,397368532390,397349577281
2022-02-10,44348,45661,43403,43565,32142048537,825745116530,0,18954324,0,-18954324
2022-02-09,44097,44728,43233,44339,23245887300,840369284541,0,18953276,0,-18953276
2022-02-08,43855,45294,42808,44118,33079398868,836154543908,41995142,18952685,794737064779,794718112094
2022-02-07,42407,44402,41748,43840,28641855926,830838884165,41995140,18951617,794737026930,794718075313
2022-02-06,41441,42501,41245,42412,16142097334,803744511638,20997558,18950875,397368286371,397349335496
2022-02-05,41501,41847,41038,41441,19652846215,785297889648,20997556,18949781,397368248522,397349298741
2022-02-04,37149,41528,37094,41501,29412210792,786396684548,125985330,18948861,2384209377585,2384190428724
2022-02-03,36945,37155,36376,37155,18591534769,704010232687,104987787,18947927,1986841375082,1986822427155
2022-02-02,38744,38835,36833,36953,19155189416,700155817836,20997562,18947198,397368362069,397349414871
2022-02-01,38482,39115,38114,38743,20288500328,734039224255,83990235,18946370,1589473202258,1589454255888
2022-01-31,37920,38647,36734,38483,20734730465,729073641688,41995120,18945343,794736648440,794717703097
2022-01-30,38152,38266,37438,37918,14643548444,718325967803,20997560,18944195,397368324220,397349380025
2022-01-29,37781,38576,37406,38138,17194183075,722469136410,41995131,18943551,794736856610,794717913059
2022-01-28,37128,37953,36211,37784,22238830523,715731622071,125985414,18942717,2384210967243,2384192024526
2022-01-27,36842,37148,35629,37138,25041426629,703456873493,20997573,18941701,397368570238,397349628537
2022-01-26,36951,38825,36375,36852,31324598034,698006361956,41995186,18940800,794737897457,794718956657
2022-01-25,36655,37445,35779,36954,26428189594,699907393886,41995185,18939963,794737878532,794718938569
2022-01-24,36276,37248,33184,36654,41856658597,694196560317,167980285,18939176,3178942903482,3178923964306
2022-01-23,35047,36433,34785,36277,26017975951,687012848062,62992560,18937973,1192102701720,1192083763747
2022-01-22,36472,36689,34349,35030,39714385405,663374008017,146982593,18937311,2781572081228,2781553143917
2022-01-21,40700,41061,35791,36457,43011992031,690368973093,20997505,18936527,397367283372,397348346845
2022-01-20,41744,43413,40673,40680,20382033940,770304579439,41995010,18935707,794734566745,794715631038
2022-01-19,42374,42478,41243,41744,23091543258,790406427118,20997505,18934612,397367283372,397348348760
2022-01-18,42250,42534,41392,42376,22417209227,802313747480,20997499,18933211,397367169826,397348236615
2022-01-17,43118,43179,41680,42251,21690904261,799910089279,62992491,18932335,1192101395930,1192082463595
2022-01-16,43172,43437,42691,43114,17902097845,816211499221,41994992,18931472,794734226104,794715294632
2022-01-15,43102,43725,42669,43177,18371348298,817364571824,20997503,18930555,397367245524,397348314969
2022-01-14,42599,43347,41983,43100,23577403399,815850639036,41995006,18929249,794734491047,794715561798
2022-01-13,43947,44278,42447,42592,47691135082,806189762638,83990019,18928197,1589469114566,1589450186369
2022-01-12,42742,44135,42529,43949,33499938689,831836978396,62992533,18927324,1192102190758,1192083263434
2022-01-11,41820,43001,41408,42736,26327648900,808834801011,83990047,18926310,1589469644452,1589450718142
2022-01-10,41910,42199,39797,41821,32104232331,791484886194,62992522,18925537,1192101982589,1192083057052
2022-01-09,41735,42664,41338,41912,21294384372,793156354744,62992514,18924326,1192101831193,1192082906867
2022-01-08,41561,42229,40672,41734,28066355845,789758782727,41994998,18923630,794734339651,794715416021
2022-01-07,43154,43154,41077,41558,84196607520,786389774194,146982451,18922705,2781569393950,2781550471245
2022-01-06,43566,43749,42646,43161,30208048289,816685390313,125984943,18921837,2384202053804,2384183131967
2022-01-05,45899,46929,42798,43569,36851084859,824368284530,41994958,18920982,794733582671,794714661689
2022-01-04,46459,47407,45752,45898,42494677905,868383282082,41994958,18919850,794733582671,794714662821
2022-01-03,47344,47511,45836,46458,33071628362,878946596803,41994956,18919166,794733544822,794714625656
2022-01-02,47681,47881,46857,47345,27951569547,895688387523,41994957,18918331,794733563746,794714645415
2022-01-01,46312,47827,46288,47687,24582667004,902104193385,20997479,18917193,397366791336,397347874143
2021-12-31,47169,48473,45820,46306,36974172400,875939356679,125984880,18916325,2384200861560,2384181945235
2021-12-30,46491,47880,46060,47178,26686491018,892386327929,83989918,18915306,1589467203191,1589448287885
2021-12-29,47624,48120,46201,46445,30049226299,878478755242,41994956,18914388,794733544822,794714630434
2021-12-28,50680,50680,47414,47589,33430376883,900076230597,20997478,18913535,397366772411,397347858876
2021-12-27,50803,51956,50499,50640,24324345758,957746390396,62992428,18912843,1192100203686,1192081290843
2021-12-26,50429,51196,49623,50810,20964372926,960899995735,41994952,18911631,794733469124,794714557493
2021-12-25,50855,51177,50237,50430,19030650914,953678082633,104987378,18910928,1986833634961,1986814724033
2021-12-24,50806,51814,50514,50822,24367912228,961051547919,83989897,18910148,1589466805776,1589447895628
2021-12-23,48626,51332,48066,50785,28223878108,960290825000,83989870,18908946,1589466294815,1589447385869
2021-12-22,48937,49545,48451,48629,24447979559,919476035254,20997460,18907977,397366431770,397347523793
2021-12-21,46886,49301,46699,48937,27055803928,925255868119,167979666,18907082,3178931189217,3178912282135
2021-12-20,46707,47402,45580,46880,30961902129,886331446165,20997456,18906388,397366356072,397347449684
2021-12-19,46854,48090,46503,46707,25154053861,883011296030,104987280,18905331,1986831780360,1986812875029
2021-12-18,46219,47314,45598,46849,26098292690,885650029984,41994912,18904353,794732712144,794713807791
2021-12-17,47654,48005,45618,46202,32902725329,873389147689,0,18903709,0,-18903709
2021-12-16,48900,49426,47530,47665,27268150947,901005821508,0,18902881,0,-18902881
2021-12-15,48380,49474,46672,48897,36541828520,924244252417,83989825,18901860,1589465443212,1589446541352
2021-12-14,46710,48431,46424,46613,34638619079,881018067731,41994902,18900694,794732522899,794713622205
2021-12-13,50115,50205,45895,46737,32166727776,883345705454,83989785,18900351,1589464686232,1589445785881
2021-12-12,49355,50725,48726,50098,21939223599,946823114555,41994884,18899419,794732182258,794713282839
2021-12-11,47265,49458,46942,49363,25775869261,932873019896,146981982,18898224,2781560518359,2781541620135
2021-12-10,47642,50015,47024,47243,30966005122,892777676312,167979214,18897565,3178922635343,3178903737778
2021-12-09,50450,50797,47358,47672,29603577251,900835068960,104986950,18896524,1986825535275,1986806638751
2021-12-08,50668,51171,48766,50505,28479699446,954312404511,83989539,18895405,1589460030806,1589441135401
2021-12-07,50582,51935,50176,50700,33676814852,957948940989,104986913,18894456,1986824835068,1986805940612
2021-12-06,49413,50930,47281,50583,37707308001,955680910792,41994776,18893322,794730138412,794711245090
2021-12-05,49202,49768,47858,49369,37198201161,932695365142,83989578,18892328,1589460768861,1589441876533
2021-12-04,53728,53905,42875,49201,61385677469,929467386770,83989558,18891230,1589460390371,1589441499141
2021-12-03,56509,57482,52497,53598,39789134215,1012490599979,125984256,18890455,2384189052672,2384170162217
2021-12-02,57217,57349,55895,56478,32379968686,1066829261574,62992105,18889289,1192094091072,1192075201783
2021-12-01,56908,59042,56553,57230,36858195307,1080977744339,62992101,18888306,1192094015374,1192075127068
2021-11-30,57830,59113,56057,57005,36708594618,1076689232562,62992101,18887628,1192094015374,1192075127746
2021-11-29,57292,58873,56793,57807,32370840356,1091773828974,146981558,18886533,2781552494371,2781533607838
2021-11-28,54813,57394,53577,57248,28116886357,1081180416262,125984118,18885907,2384186441091,2384167555184
2021-11-27,53736,55329,53668,54815,30560857714,1035176249679,104986732,18884908,1986821409734,1986802524826
2021-11-26,58960,59183,53570,53570,41810748221,1011613083342,83989371,18883948,1589456851490,1589437967542
2021-11-25,57165,59368,57147,57275,34284016248,1081500188674,104986715,18882587,1986821088018,1986802205431
2021-11-24,57566,57803,55964,56280,36635566789,1062661698465,125984091,18881693,2384185930130,2384167048437
2021-11-23,56305,57876,55633,57569,37485803899,1086985075773,83989401,18881431,1589457419224,1589438537793
2021-11-22,58707,59266,55680,56289,35036121783,1062772703759,104986849,18880646,1986823623900,1986804743254
2021-11-21,59731,60004,58619,58730,26123447605,1108812311533,104986806,18879828,1986822810147,1986803930319
2021-11-20,58115,59860,57470,59697,30624264863,1127014430118,125984171,18878912,2384187444090,2384168565178
2021-11-19,56896,58351,55705,58120,38702407772,1097177697853,62992143,18877799,1192094810204,1192075932405
2021-11-18,60360,60948,56551,56942,41388338699,1074900976539,41994782,18877120,794730251959,794711374839
2021-11-17,60140,60824,58515,60368,39178392930,1139519389072,41994779,18876216,794730195186,794711318970
2021-11-16,63721,63721,59016,60161,46844335592,1135559300073,125984334,18875340,2384190528783,2384171653443
2021-11-15,65521,66282,63548,63558,30558763548,1199611097094,83989574,18874274,1589460693163,1589441818889
2021-11-14,64455,65495,63648,65467,25122092191,1235578996842,20997390,18873310,397365107055,397346233745
2021-11-13,64158,64916,63304,64470,30474228777,1216695126358,83989560,18872268,1589460428220,1589441555952
2021-11-12,64864,65461,62334,64156,36084893887,1210715199478,104986967,18871426,1986825856992,1986806985566
2021-11-11,64979,65579,64180,64950,35880633236,1225643127560,41994814,18870564,794730857543,794711986979
2021-11-10,66953,68790,63208,64995,48730828378,1226431510693,188976610,18869629,3576287855945,3576268986316
2021-11-09,67550,68530,66382,66972,42357991721,1263667113597,146981825,18868589,2781557547212,2781538678623
2021-11-08,63344,67674,63344,67567,41125608330,1274831490851,146981943,18867665,2781559780304,2781540912639
2021-11-07,61555,63327,61432,63327,24726754302,1194778776481,83989650,18866815,1589462131425,1589443264610
2021-11-06,61069,61591,60164,61527,29094934221,1160769349887,146982148,18866016,2781563659826,2781544793810
2021-11-05,61460,62541,60845,61126,30605102446,1153128571128,83989888,18864780,1589466635456,1589447770676
2021-11-04,62942,63123,60800,61452,32615846901,1159231375022,62992417,18864014,1192099995516,1192081131502
2021-11-03,63254,63517,61184,62970,36124731509,1187808286560,125984833,18863082,2384199972108,2384181109026
2021-11-02,60963,64243,60673,63226,37746665647,1192577136210,146982313,18862132,2781566782368,2781547920236
2021-11-01,61320,62419,59695,61004,36150572843,1150606762880,83989897,18861169,1589466805776,1589447944607
2021-10-31,61850,62406,60074,61319,32241199927,1156485845063,83989870,18860155,1589466294815,1589447434660
2021-10-30,62239,62330,60918,61889,32157938616,1167178054167,62992404,18859217,1192099749498,1192080890281
2021-10-29,60625,62928,60330,62228,36856881767,1173512442368,41994938,18858270,794733204181,794714345911
2021-10-28,58471,62129,58207,60622,45257083247,1143165999365,83989877,18857280,1589466427286,1589447570006
2021-10-27,60352,61435,58208,58482,43657076893,1102757767323,62992409,18856362,1192099844120,1192080987758
2021-10-26,63033,63229,59991,60364,34878965587,1138177770430,41994932,18855241,794733090634,794714235393
2021-10-25,60894,63729,60692,63040,31064911614,1188575312422,62992488,18854304,1192101339156,1192082484852
2021-10-24,61368,61506,59643,60931,27316183882,1148743134468,62992485,18853180,1192101282382,1192082429202
2021-10-23,60695,61744,59827,61394,26882546034,1157410091263,20997499,18852169,397367169826,397348317657
2021-10-22,62238,63715,60123,60692,38434082775,1144131483274,104987510,18851438,1986836132995,1986817281557
2021-10-21,66002,66601,62117,62210,45908121370,1172684282558,104987537,18850414,1986836643956,1986817793542
2021-10-20,64285,66930,63611,65993,40788955582,1243927428207,146982704,18849384,2781574181848,2781555332464
2021-10-19,62043,64435,61623,64262,40471196346,1211242526571,41995058,18848503,794735475121,794716626618
2021-10-18,61549,62615,60013,62026,38055562075,1169039169043,188977720,18847567,3576308862140,3576290014573
2021-10-17,60888,61646,59164,61554,29032367511,1160077513368,20997519,18846501,397367548316,397348701815
2021-10-16,61610,62274,60206,60892,34250964237,1147551202767,125985153,18845681,2384206027948,2384187182267
2021-10-15,57346,62757,56868,61594,51780081801,1160726409230,125985182,18844797,2384206576759,2384187731962
2021-10-14,57373,58479,56957,57322,36615791366,1080160001108,83990112,18843725,1589470874544,1589452030819
2021-10-13,56038,57689,54371,57401,41684252783,1081611750762,167980313,18843082,3178943433368,3178924590286
2021-10-12,57527,57628,54478,56041,41083758949,1055926265435,209975322,18842031,3973677981189,3973659139158
2021-10-11,54734,57793,54520,57485,42637331698,1083079138639,83990191,18841074,1589472369580,1589453528506
2021-10-10,54953,56401,54264,54772,39527792364,1031909532688,83990201,18840092,1589472558824,1589453718732
2021-10-09,53930,55398,53735,54968,32491211414,1035558748272,62992641,18839302,1192104234604,1192085395302
2021-10-08,53802,55923,53688,53968,34800873924,1016664484566,272968667,18838284,5165795538642,5165776700358
2021-10-07,55339,55339,53525,53806,36807860413,1013573258668,0,18837551,0,-18837551
2021-10-06,51487,55568,50488,55361,49034730168,1042827678808,146983518,18836865,2781589586391,2781570749526
2021-10-05,49175,51840,49073,51515,35873904236,970325310417,62993010,18835782,1192111217745,1192092381963
2021-10-04,48209,49457,47045,49113,33383173002,925033195574,146983690,18834793,2781592841405,2781574006612
2021-10-03,47680,49131,47157,48200,26638115879,907791525236,167981578,18833849,3178967372861,3178948539012
